"Arma";"Calibre";"nome da munição";"dano(alcance)"
"BM59";"7.62x51mm";"M62";"55(62) | 39(65)"
"BM59";"7.62x51mm";"M80";"62(62) | 43(65)"
"BM59";"7.62x51mm";"UN";"78(62) | 55(65)"
"CZ 52";"7.62x25mm";"AKBS";"54(16) | 38(19)"
"CZ 52";"7.62x25mm";"LRN";"60(16) | 42(19)"
"CZ 52";"7.62x25mm";"PS";"43(16) | 30(19)"
"CZ 52";"7.62x25mm";"Pst";"47(16) | 33(19)"
"CZ 52";"7.62x25mm";"PT";"51(16) | 36(19)"
"Deagle";".44";"JSP";"67(31) | 47(34)"
"Deagle";".44";"LFNP";"98(31) | 69(34)"
"Deagle";".44";"SJHP";"76(31) | 53(34)"
"F2000";"5.56x45mm";"FMJ Hunting";"55(48) | 39(51)"
"F2000";"5.56x45mm";"HP Hunting";"71(48) | 50(51)"
"F2000";"5.56x45mm";"M193";"54(48) | 38(51)"
"F2000";"5.56x45mm";"M855";"52(48) | 36(51)"
"F2000";"5.56x45mm";"M855A1";"46(48) | 32(51)"
"F2000";"5.56x45mm";"M855A2";"50(48) | 35(51)"
"F2000";"5.56x45mm";"M995";"43(48) | 30(51)"
"F57";"5.7x28mm";"L191";"57(20) | 40(23)"
"F57";"5.7x28mm";"R37.F";"80(20) | 56(23)"
"F57";"5.7x28mm";"R37.X";"73(20) | 51(23)"
"F57";"5.7x28mm";"SS190";"49(20) | 34(23)"
"F57";"5.7x28mm";"SS197SR";"64(20) | 45(23)"
"F57";"5.7x28mm";"SS198";"45(20) | 32(23)"
"FAL";"7.62x51mm";"BPZ";"64(51) | 45(54)"
"FAL";"7.62x51mm";"M61";"47(51) | 33(54)"
"FAL";"7.62x51mm";"M62";"53(51) | 37(54)"
"FAL";"7.62x51mm";"M80";"60(51) | 42(54)"
"FAL";"7.62x51mm";"UN";"76(51) | 53(54)"
"FAMAS";"5.56x45mm";"FMJ Hunting";"57(48) | 40(51)"
"FAMAS";"5.56x45mm";"HP Hunting";"73(48) | 51(51)"
"FAMAS";"5.56x45mm";"M193";"56(48) | 39(51)"
"FAMAS";"5.56x45mm";"M855";"54(48) | 38(51)"
"FAMAS";"5.56x45mm";"M855A1";"48(48) | 34(51)"
"FAMAS";"5.56x45mm";"M855A2";"52(48) | 36(51)"
"FAMAS";"5.56x45mm";"M995";"45(48) | 32(51)"
"G17";"9x19mm";"7N31";"40(14) | 28(17)"
"G17";"9x19mm";"AP6.3";"42(14) | 29(17)"
"G17";"9x19mm";"Dum-Dum";"70(14) | 49(17)"
"G17";"9x19mm";"PSO";"50(14) | 35(17)"
"G17";"9x19mm";"Pst";"46(14) | 32(17)"
"G18C";"9x19mm";"7N31";"40(12) | 28(15)"
"G18C";"9x19mm";"AP6.3";"42(12) | 29(15)"
"G18C";"9x19mm";"Dum-Dum";"70(12) | 49(15)"
"G18C";"9x19mm";"PSO";"50(12) | 35(15)"
"G18C";"9x19mm";"Pst";"46(12) | 32(15)"
"G3";"7.62x51mm";"BPZ";"61(42) | 43(45)"
"G3";"7.62x51mm";"M61";"44(42) | 31(45)"
"G3";"7.62x51mm";"M62";"50(42) | 35(45)"
"G3";"7.62x51mm";"M80";"57(42) | 40(45)"
"G3";"7.62x51mm";"UN";"73(42) | 51(45)"
"G-Deagle";".44";"JSP";"67(31) | 47(34)"
"G-Deagle";".44";"LFNP";"98(31) | 69(34)"
"G-Deagle";".44";"SJHP";"76(31) | 53(34)"
"HK416";"5.56x45mm";"FMJ Hunting";"58(50) | 41(53)"
"HK416";"5.56x45mm";"HP Hunting";"74(50) | 52(53)"
"HK416";"5.56x45mm";"M193";"57(50) | 40(53)"
"HK416";"5.56x45mm";"M855";"55(50) | 39(53)"
"HK416";"5.56x45mm";"M855A1";"49(50) | 34(53)"
"HK416";"5.56x45mm";"M855A2";"53(50) | 37(53)"
"HK416";"5.56x45mm";"M995";"46(50) | 32(53)"
"M110";"7.62x51mm";"BPZ";"70(86) | 49(89)"
"M110";"7.62x51mm";"M61";"53(86) | 37(89)"
"M110";"7.62x51mm";"M62";"59(86) | 41(89)"
"M110";"7.62x51mm";"M80";"66(86) | 46(89)"
"M110";"7.62x51mm";"UN";"82(86) | 57(89)"
"M14";"7.62x51mm";"BPZ";"69(71) | 48(74)"
"M14";"7.62x51mm";"M61";"52(71) | 36(74)"
"M14";"7.62x51mm";"M62";"58(71) | 41(74)"
"M14";"7.62x51mm";"M80";"65(71) | 46(74)"
"M14";"7.62x51mm";"UN";"81(71) | 57(74)"
"M16";"5.56x45mm";"FMJ Hunting";"59(75) | 41(78)"
"M16";"5.56x45mm";"HP Hunting";"75(75) | 53(78)"
"M16";"5.56x45mm";"M193";"58(75) | 41(78)"
"M16";"5.56x45mm";"M855";"56(75) | 39(78)"
"M16";"5.56x45mm";"M855A1";"50(75) | 35(78)"
"M16";"5.56x45mm";"M855A2";"54(75) | 38(78)"
"M16";"5.56x45mm";"M995";"47(75) | 33(78)"
"M1911";".45";"AP";"49(16) | 34(19)"
"M1911";".45";"APWC";"49(16) | 34(19)"
"M1911";".45";"FMJ";"55(16) | 39(19)"
"M1911";".45";"HS";"59(16) | 41(19)"
"M24";"7.62x51mm";"BPZ";"76(120)"
"M24";"7.62x51mm";"M61";"59(120)"
"M24";"7.62x51mm";"M62";"65(120)"
"M24";"7.62x51mm";"M80";"72(120)"
"M24";"7.62x51mm";"UN";"88(120)"
"M3A1";".45";"AP";"45(34) | 32(37)"
"M3A1";".45";"APWC";"45(34) | 32(37)"
"M3A1";".45";"FMJ";"51(34) | 36(37)"
"M3A1";".45";"HS";"55(34) | 39(37)"
"M45A1";".45";"AP";"50(12) | 35(15)"
"M45A1";".45";"APWC";"50(12) | 35(15)"
"M45A1";".45";"FMJ";"56(12) | 39(15)"
"M45A1";".45";"HS";"60(12) | 42(15)"
"M4A1";"5.56x45mm";"FMJ Hunting";"57(54) | 40(57)"
"M4A1";"5.56x45mm";"HP Hunting";"73(54) | 51(57)"
"M4A1";"5.56x45mm";"M193";"56(54) | 39(57)"
"M4A1";"5.56x45mm";"M855";"54(54) | 38(57)"
"M4A1";"5.56x45mm";"M855A1";"48(54) | 34(57)"
"M4A1";"5.56x45mm";"M855A2";"52(54) | 36(57)"
"M4A1";"5.56x45mm";"M995";"45(54) | 32(57)"
"M870";"12x70mm";"Armor-Piercing Slug";"172(16) | 120(19)"
"M870";"12x70mm";"Dragon's Breath";"43(16) | 30(19)"
"M870";"12x70mm";"Dual Shell";"95(16) | 67(19)"
"M870";"12x70mm";"Flechette Buckshot";"34(16) | 24(19)"
"M870";"12x70mm";"Grizzly Slug";"196(16) | 137(19)"
"M870";"12x70mm";"GT Slug";"210(16) | 147(19)"
"M870";"12x70mm";"Led Slug";"187(16) | 131(19)"
"M870";"12x70mm";"RIP Slug";"283(16) | 198(19)"
"M870";"12x70mm";"Type 5 Buckshot";"45(16) | 32(19)"
"M870";"12x70mm";"Type 7 Buckshot";"46(16) | 32(19)"
"M870";"12x70mm";"Type 8 Buckshot";"52(16) | 36(19)"
"M96";"5.56x45mm";"FMJ Hunting";"55(57) | 39(60)"
"M96";"5.56x45mm";"HP Hunting";"71(57) | 50(60)"
"M96";"5.56x45mm";"M193";"54(57) | 38(60)"
"M96";"5.56x45mm";"M855";"52(57) | 36(60)"
"M96";"5.56x45mm";"M855A1";"46(57) | 32(60)"
"M96";"5.56x45mm";"M855A2";"50(57) | 35(60)"
"M96";"5.56x45mm";"M995";"43(57) | 30(60)"
"M9A3";"9x19mm";"7N31";"40(17) | 28(20)"
"M9A3";"9x19mm";"AP6.3";"42(17) | 29(20)"
"M9A3";"9x19mm";"Dum-Dum";"70(17) | 49(20)"
"M9A3";"9x19mm";"PSO";"50(17) | 35(20)"
"M9A3";"9x19mm";"Pst";"46(17) | 32(20)"
"MAC-10";".45";"AP";"48(36) | 34(39)"
"MAC-10";".45";"APWC";"48(36) | 34(39)"
"MAC-10";".45";"FMJ";"54(36) | 38(39)"
"MAC-10";".45";"HS";"58(36) | 41(39)"
"MCX";"5.56x45mm";"FMJ Hunting";"55(30) | 39(33)"
"MCX";"5.56x45mm";"HP Hunting";"71(30) | 50(33)"
"MCX";"5.56x45mm";"M193";"54(30) | 38(33)"
"MCX";"5.56x45mm";"M855";"52(30) | 36(33)"
"MCX";"5.56x45mm";"M855A1";"46(30) | 32(33)"
"MCX";"5.56x45mm";"M855A2";"50(30) | 35(33)"
"MCX";"5.56x45mm";"M995";"43(30) | 30(33)"
"MDR";"5.56x45mm";"FMJ Hunting";"57(55) | 40(58)"
"MDR";"5.56x45mm";"HP Hunting";"73(55) | 51(58)"
"MDR";"5.56x45mm";"M193";"56(55) | 39(58)"
"MDR";"5.56x45mm";"M855";"54(55) | 38(58)"
"MDR";"5.56x45mm";"M855A1";"48(55) | 34(58)"
"MDR";"5.56x45mm";"M855A2";"52(55) | 36(58)"
"MDR";"5.56x45mm";"M995";"45(55) | 32(58)"
"Mini14";"5.56x45mm";"FMJ Hunting";"60(67) | 42(70)"
"Mini14";"5.56x45mm";"HP Hunting";"76(67) | 53(70)"
"Mini14";"5.56x45mm";"M193";"59(67) | 41(70)"
"Mini14";"5.56x45mm";"M855";"57(67) | 40(70)"
"Mini14";"5.56x45mm";"M855A1";"51(67) | 36(70)"
"Mini14";"5.56x45mm";"M855A2";"55(67) | 39(70)"
"Mini14";"5.56x45mm";"M995";"48(67) | 34(70)"
"Mk14";"7.62x51mm";"BPZ";"69(60) | 48(63)"
"Mk14";"7.62x51mm";"M61";"52(60) | 36(63)"
"Mk14";"7.62x51mm";"M62";"58(60) | 41(63)"
"Mk14";"7.62x51mm";"M80";"65(60) | 46(63)"
"Mk14";"7.62x51mm";"UN";"81(60) | 57(63)"
"ML Lever-Action";".44";"JSP";"67(64) | 47(67)"
"ML Lever-Action";".44";"LFNP";"98(64) | 69(67)"
"ML Lever-Action";".44";"SJHP";"76(64) | 53(67)"
"Mosin";"7.62x54mm";"7BT1";"58(100) | 41(103)"
"Mosin";"7.62x54mm";"7N37";"43(100) | 30(103)"
"Mosin";"7.62x54mm";"LPS";"68(100) | 48(103)"
"Mosin";"7.62x54mm";"SNB";"57(100) | 40(103)"
"Mosin";"7.62x54mm";"T46M";"70(100) | 49(103)"
"MP 40";"9x19mm";"7N31";"47(28) | 33(31)"
"MP 40";"9x19mm";"AP6.3";"49(28) | 34(31)"
"MP 40";"9x19mm";"Dum-Dum";"77(28) | 54(31)"
"MP 40";"9x19mm";"PSO";"57(28) | 40(31)"
"MP 40";"9x19mm";"Pst";"53(28) | 37(31)"
"MP-133";"12x70mm";"Armor-Piercing Slug";"168(15) | 118(18)"
"MP-133";"12x70mm";"Dragon's Breath";"39(15) | 27(18)"
"MP-133";"12x70mm";"Dual Shell";"91(15) | 64(18)"
"MP-133";"12x70mm";"Flechette Buckshot";"30(15) | 21(18)"
"MP-133";"12x70mm";"Grizzly Slug";"192(15) | 134(18)"
"MP-133";"12x70mm";"GT Slug";"206(15) | 144(18)"
"MP-133";"12x70mm";"Led Slug";"183(15) | 128(18)"
"MP-133";"12x70mm";"RIP Slug";"279(15) | 195(18)"
"MP-133";"12x70mm";"Type 5 Buckshot";"41(15) | 29(18)"
"MP-133";"12x70mm";"Type 7 Buckshot";"42(15) | 29(18)"
"MP-133";"12x70mm";"Type 8 Buckshot";"48(15) | 34(18)"
"MP5";"9x19mm";"7N31";"46(28) | 32(31)"
"MP5";"9x19mm";"AP6.3";"48(28) | 34(31)"
"MP5";"9x19mm";"Dum-Dum";"76(28) | 53(31)"
"MP5";"9x19mm";"PSO";"56(28) | 39(31)"
"MP5";"9x19mm";"Pst";"52(28) | 36(31)"
"MP9";"9x19mm";"7N31";"44(11) | 31(14)"
"MP9";"9x19mm";"AP6.3";"46(11) | 32(14)"
"MP9";"9x19mm";"Dum-Dum";"74(11) | 52(14)"
"MP9";"9x19mm";"PSO";"54(11) | 38(14)"
"MP9";"9x19mm";"Pst";"50(11) | 35(14)"
"MPF45";".45";"AP";"46(26) | 32(29)"
"MPF45";".45";"APWC";"46(26) | 32(29)"
"MPF45";".45";"FMJ";"52(26) | 36(29)"
"MPF45";".45";"HS";"56(26) | 39(29)"
"MPX";"9x19mm";"7N31";"50(37) | 35(40)"
"MPX";"9x19mm";"AP6.3";"52(37) | 36(40)"
"MPX";"9x19mm";"Dum-Dum";"80(37) | 56(40)"
"MPX";"9x19mm";"PSO";"60(37) | 42(40)"
"MPX";"9x19mm";"Pst";"56(37) | 39(40)"
"P90";"5.7x28mm";"L191";"58(40) | 41(43)"
"P90";"5.7x28mm";"R37.F";"81(40) | 57(43)"
"P90";"5.7x28mm";"R37.X";"74(40) | 52(43)"
"P90";"5.7x28mm";"SS190";"50(40) | 35(43)"
"P90";"5.7x28mm";"SS197SR";"65(40) | 46(43)"
"P90";"5.7x28mm";"SS198";"46(40) | 32(43)"
"PCC-9";"9x19mm";"7N31";"52(38) | 36(41)"
"PCC-9";"9x19mm";"AP6.3";"54(38) | 38(41)"
"PCC-9";"9x19mm";"Dum-Dum";"82(38) | 57(41)"
"PCC-9";"9x19mm";"PSO";"62(38) | 43(41)"
"PCC-9";"9x19mm";"Pst";"58(38) | 41(41)"
"PP19-01";"9x19mm";"7N31";"48(32) | 34(35)"
"PP19-01";"9x19mm";"AP6.3";"50(32) | 35(35)"
"PP19-01";"9x19mm";"Dum-Dum";"78(32) | 55(35)"
"PP19-01";"9x19mm";"PSO";"58(32) | 41(35)"
"PP19-01";"9x19mm";"Pst";"54(32) | 38(35)"
"QC61";"7.62x25mm";"AKBS";"55(33) | 39(36)"
"QC61";"7.62x25mm";"LRN";"61(33) | 43(36)"
"QC61";"7.62x25mm";"PS";"44(33) | 31(36)"
"QC61";"7.62x25mm";"Pst";"48(33) | 34(36)"
"QC61";"7.62x25mm";"PT";"52(33) | 36(36)"
"RPK-16";"5.45x39mm";"BP";"50(59) | 35(62)"
"RPK-16";"5.45x39mm";"BS";"45(59) | 32(62)"
"RPK-16";"5.45x39mm";"HP";"78(59) | 55(62)"
"RPK-16";"5.45x39mm";"PP";"49(59) | 34(62)"
"RPK-16";"5.45x39mm";"PRS";"64(59) | 45(62)"
"RPK-16";"5.45x39mm";"PS";"58(59) | 41(62)"
"S12K";"12x70mm";"Armor-Piercing Slug";"166(14) | 116(17)"
"S12K";"12x70mm";"Dragon's Breath";"37(14) | 26(17)"
"S12K";"12x70mm";"Dual Shell";"89(14) | 62(17)"
"S12K";"12x70mm";"Flechette Buckshot";"28(14) | 20(17)"
"S12K";"12x70mm";"Grizzly Slug";"190(14) | 133(17)"
"S12K";"12x70mm";"GT Slug";"204(14) | 143(17)"
"S12K";"12x70mm";"Led Slug";"181(14) | 127(17)"
"S12K";"12x70mm";"RIP Slug";"277(14) | 194(17)"
"S12K";"12x70mm";"Type 5 Buckshot";"39(14) | 27(17)"
"S12K";"12x70mm";"Type 7 Buckshot";"40(14) | 28(17)"
"S12K";"12x70mm";"Type 8 Buckshot";"46(14) | 32(17)"
"SA85M";"7.62x39mm";"AP";"42(53) | 29(56)"
"SA85M";"7.62x39mm";"BP";"52(53) | 36(56)"
"SA85M";"7.62x39mm";"HP";"75(53) | 53(56)"
"SA85M";"7.62x39mm";"LP";"57(53) | 40(56)"
"SA85M";"7.62x39mm";"PS";"52(53) | 36(56)"
"SA85M";"7.62x39mm";"T45M";"57(53) | 40(56)"
"SA85M";"7.62x39mm";"US";"52(53) | 36(56)"
"SCAR-L";"5.56x45mm";"FMJ Hunting";"59(48) | 41(51)"
"SCAR-L";"5.56x45mm";"HP Hunting";"75(48) | 53(51)"
"SCAR-L";"5.56x45mm";"M193";"58(48) | 41(51)"
"SCAR-L";"5.56x45mm";"M855";"56(48) | 39(51)"
"SCAR-L";"5.56x45mm";"M855A1";"50(48) | 35(51)"
"SCAR-L";"5.56x45mm";"M855A2";"54(48) | 38(51)"
"SCAR-L";"5.56x45mm";"M995";"47(48) | 33(51)"
"SG550";"5.56x45mm";"FMJ Hunting";"50(53) | 35(56)"
"SG550";"5.56x45mm";"HP Hunting";"66(53) | 46(56)"
"SG550";"5.56x45mm";"M193";"49(53) | 34(56)"
"SG550";"5.56x45mm";"M855";"47(53) | 33(56)"
"SG550";"5.56x45mm";"M855A1";"41(53) | 29(56)"
"SG550";"5.56x45mm";"M855A2";"45(53) | 32(56)"
"SG550";"5.56x45mm";"M995";"38(53) | 27(56)"
"SJ16";".338";"AP";"92(125)"
"SJ16";".338";"FMJ";"96(125)"
"SJ16";".338";"UPZ";"112(125)"
"SKS";"7.62x39mm";"AP";"48(58) | 34(61)"
"SKS";"7.62x39mm";"BP";"58(58) | 41(61)"
"SKS";"7.62x39mm";"HP";"81(58) | 57(61)"
"SKS";"7.62x39mm";"LP";"63(58) | 44(61)"
"SKS";"7.62x39mm";"PS";"58(58) | 41(61)"
"SKS";"7.62x39mm";"T45M";"63(58) | 44(61)"
"SKS";"7.62x39mm";"US";"58(58) | 41(61)"
"SPR310";"12x70mm";"Armor-Piercing Slug";"164(10) | 115(13)"
"SPR310";"12x70mm";"Dragon's Breath";"35(10) | 25(13)"
"SPR310";"12x70mm";"Dual Shell";"87(10) | 61(13)"
"SPR310";"12x70mm";"Flechette Buckshot";"26(10) | 18(13)"
"SPR310";"12x70mm";"Grizzly Slug";"188(10) | 132(13)"
"SPR310";"12x70mm";"GT Slug";"202(10) | 141(13)"
"SPR310";"12x70mm";"Led Slug";"179(10) | 125(13)"
"SPR310";"12x70mm";"RIP Slug";"275(10) | 193(13)"
"SPR310";"12x70mm";"Type 5 Buckshot";"37(10) | 26(13)"
"SPR310";"12x70mm";"Type 7 Buckshot";"38(10) | 27(13)"
"SPR310";"12x70mm";"Type 8 Buckshot";"44(10) | 31(13)"
"SVDS";"7.62x54mm";"7BT1";"72(83) | 50(86)"
"SVDS";"7.62x54mm";"7N37";"57(83) | 40(86)"
"SVDS";"7.62x54mm";"LPS";"82(83) | 57(86)"
"SVDS";"7.62x54mm";"SNB";"71(83) | 50(86)"
"SVDS";"7.62x54mm";"T46M";"84(83) | 59(86)"
"SVTU";"7.62x54mm";"7BT1";"56(66) | 39(69)"
"SVTU";"7.62x54mm";"7N37";"41(66) | 29(69)"
"SVTU";"7.62x54mm";"LPS";"66(66) | 46(69)"
"SVTU";"7.62x54mm";"SNB";"55(66) | 39(69)"
"SVTU";"7.62x54mm";"T46M";"68(66) | 48(69)"
"T03";"5.8x42mm";"DBP87";"54(53) | 38(56)"
"T03";"5.8x42mm";"DVC12";"46(53) | 32(56)"
"T03";"5.8x42mm";"DVP88";"49(53) | 34(56)"
"T05";"9x19mm";"7N31";"39(14) | 27(17)"
"T05";"9x19mm";"AP6.3";"41(14) | 29(17)"
"T05";"9x19mm";"Dum-Dum";"69(14) | 48(17)"
"T05";"9x19mm";"PSO";"49(14) | 34(17)"
"T05";"9x19mm";"Pst";"45(14) | 32(17)"
"T191";"5.8x42mm";"DBP87";"54(48) | 38(51)"
"T191";"5.8x42mm";"DVC12";"46(48) | 32(51)"
"T191";"5.8x42mm";"DVP88";"49(48) | 34(51)"
"T192";"5.8x42mm";"DBP87";"55(41) | 39(44)"
"T192";"5.8x42mm";"DVC12";"47(41) | 33(44)"
"T192";"5.8x42mm";"DVP88";"50(41) | 35(44)"
"T54";"7.62x25mm";"AKBS";"54(12) | 38(15)"
"T54";"7.62x25mm";"LRN";"60(12) | 42(15)"
"T54";"7.62x25mm";"PS";"43(12) | 30(15)"
"T54";"7.62x25mm";"Pst";"47(12) | 33(15)"
"T54";"7.62x25mm";"PT";"51(12) | 36(15)"
"T79";"7.62x25mm";"AKBS";"56(33) | 39(36)"
"T79";"7.62x25mm";"LRN";"62(33) | 43(36)"
"T79";"7.62x25mm";"PS";"45(33) | 32(36)"
"T79";"7.62x25mm";"Pst";"49(33) | 34(36)"
"T79";"7.62x25mm";"PT";"53(33) | 37(36)"
"T85";"7.62x25mm";"AKBS";"56(39) | 39(42)"
"T85";"7.62x25mm";"LRN";"62(39) | 43(42)"
"T85";"7.62x25mm";"PS";"45(39) | 32(42)"
"T85";"7.62x25mm";"Pst";"49(39) | 34(42)"
"T85";"7.62x25mm";"PT";"53(39) | 37(42)"
"T88";"5.8x42mm";"DBP87";"62(82) | 43(85)"
"T88";"5.8x42mm";"DVC12";"54(82) | 38(85)"
"T88";"5.8x42mm";"DVP88";"57(82) | 40(85)"
"T951";"5.8x42mm";"DBP87";"54(47) | 38(50)"
"T951";"5.8x42mm";"DVC12";"46(47) | 32(50)"
"T951";"5.8x42mm";"DVP88";"49(47) | 34(50)"
"U191";"5.8x42mm";"DBP87";"57(64) | 40(67)"
"U191";"5.8x42mm";"DVC12";"49(64) | 34(67)"
"U191";"5.8x42mm";"DVP88";"52(64) | 36(67)"
"UMP45";".45";"AP";"48(34) | 34(37)"
"UMP45";".45";"APWC";"48(34) | 34(37)"
"UMP45";".45";"FMJ";"54(34) | 38(37)"
"UMP45";".45";"HS";"58(34) | 41(37)"
"USAS-12";"12x70mm";"Armor-Piercing Slug";"166(12) | 116(15)"
"USAS-12";"12x70mm";"Dragon's Breath";"37(12) | 26(15)"
"USAS-12";"12x70mm";"Dual Shell";"89(12) | 62(15)"
"USAS-12";"12x70mm";"Flechette Buckshot";"28(12) | 20(15)"
"USAS-12";"12x70mm";"Grizzly Slug";"190(12) | 133(15)"
"USAS-12";"12x70mm";"GT Slug";"204(12) | 143(15)"
"USAS-12";"12x70mm";"Led Slug";"181(12) | 127(15)"
"USAS-12";"12x70mm";"RIP Slug";"277(12) | 194(15)"
"USAS-12";"12x70mm";"Type 5 Buckshot";"39(12) | 27(15)"
"USAS-12";"12x70mm";"Type 7 Buckshot";"40(12) | 28(15)"
"USAS-12";"12x70mm";"Type 8 Buckshot";"46(12) | 32(15)"
"UZI";"9x19mm";"7N31";"44(29) | 31(32)"
"UZI";"9x19mm";"AP6.3";"46(29) | 32(32)"
"UZI";"9x19mm";"Dum-Dum";"74(29) | 52(32)"
"UZI";"9x19mm";"PSO";"54(29) | 38(32)"
"UZI";"9x19mm";"Pst";"50(29) | 35(32)"
"Vector 45";".45";"AP";"43(33) | 30(36)"
"Vector 45";".45";"APWC";"43(33) | 30(36)"
"Vector 45";".45";"FMJ";"49(33) | 34(36)"
"Vector 45";".45";"HS";"54(33) | 37(36)"
"Vector 9";"9x19mm";"7N31";"44(36) | 31(39)"
"Vector 9";"9x19mm";"AP6.3";"46(36) | 32(39)"
"Vector 9";"9x19mm";"Dum-Dum";"74(36) | 52(39)"
"Vector 9";"9x19mm";"PSO";"54(36) | 38(39)"
"Vector 9";"9x19mm";"Pst";"50(36) | 35(39)"
"VSS";"9x39mm";"7N12";"50(37) | 35(40)"
